Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,State,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost,Age,Attrition
Production Technician I,CCDR,Active,Contract,Zone C,Temporary,Production       ,Finance & Accounting,MA,Female,White,Widowed,Fully Meets,4,1,2,3,Leadership Development,Internal,Failed,2,606.11,50,0
Production Technician I,EW,Active,Contract,Zone A,Part-Time,Production       ,Aerial,MA,Male,Hispanic,Widowed,Fully Meets,3,2,1,5,Customer Service,External,Incomplete,4,673.02,58,0
Area Sales Manager,PL,Active,Full-Time,Zone B,Part-Time,Sales,General - Sga,MA,Male,Hispanic,Widowed,Fully Meets,4,1,2,1,Leadership Development,External,Failed,2,413.28,27,0
Area Sales Manager,CCDR,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,ND,Male,Other,Single,Fully Meets,2,5,5,4,Project Management,External,Completed,3,663.78,23,0
Area Sales Manager,TNS,Active,Contract,Zone A,Temporary,Sales,General - Con,FL,Female,Other,Married,Fully Meets,3,2,5,3,Technical Skills,External,Failed,5,399.03,50,0
Area Sales Manager,BPC,Active,Contract,Zone B,Full-Time,Sales,Field Operations,CT,Male,Black,Married,Fully Meets,3,2,3,5,Project Management,Internal,Passed,2,820.33,71,0
Area Sales Manager,WBL,Active,Full-Time,Zone B,Temporary,Sales,General - Eng,CA,Female,Hispanic,Divorced,Exceeds,4,1,5,2,Customer Service,External,Passed,5,295.08,80,0
Area Sales Manager,CCDR,Active,Contract,Zone C,Full-Time,Sales,Engineers,OR,Female,White,Divorced,Fully Meets,2,1,4,2,Leadership Development,Internal,Passed,3,790.15,63,0
Area Sales Manager,NEL,Active,Contract,Zone B,Part-Time,Sales,Executive,TX,Male,Black,Widowed,Exceeds,3,4,3,3,Customer Service,Internal,Passed,3,798.4,44,0
Area Sales Manager,BPC,Active,Part-Time,Zone B,Temporary,Sales,Engineers,TX,Male,Asian,Widowed,Fully Meets,5,5,5,2,Leadership Development,Internal,Failed,5,192.61,73,0
Area Sales Manager,SVG,Active,Contract,Zone B,Temporary,Sales,Field Operations,IN,Female,Other,Single,Fully Meets,5,3,2,5,Technical Skills,Internal,Failed,1,455.68,59,0
Area Sales Manager,MSC,Active,Full-Time,Zone C,Temporary,Sales,General - Con,GA,Female,Asian,Married,Fully Meets,3,4,2,5,Technical Skills,Internal,Failed,2,208.17,70,0
Area Sales Manager,EW,Active,Full-Time,Zone A,Temporary,Sales,Splicing,CO,Male,Other,Single,Fully Meets,3,1,2,5,Technical Skills,External,Incomplete,1,421.07,41,0
Area Sales Manager,CCDR,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,KY,Female,White,Divorced,Fully Meets,3,1,4,5,Communication Skills,External,Failed,1,649.03,68,0
Area Sales Manager,BPC,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,NV,Male,Asian,Widowed,Exceeds,4,4,2,5,Project Management,Internal,Passed,4,450.2,30,0
Area Sales Manager,PYZ,Active,Full-Time,Zone A,Full-Time,IT/IS,Field Operations,MA,Male,Black,Single,Exceeds,2,2,5,3,Project Management,External,Failed,4,286.87,67,0
Area Sales Manager,WBL,Active,Full-Time,Zone C,Part-Time,IT/IS,Project Management - Con,KY,Male,Asian,Widowed,Fully Meets,3,2,2,4,Technical Skills,External,Failed,3,402.13,27,0
Area Sales Manager,NEL,Active,Contract,Zone A,Part-Time,Sales,Engineers,KY,Male,Other,Widowed,Fully Meets,3,1,2,4,Technical Skills,External,Failed,2,388.84,38,0
Area Sales Manager,PL,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,KY,Female,Other,Married,Exceeds,4,4,5,2,Project Management,External,Completed,2,879.64,36,0
Area Sales Manager,BPC,Active,Part-Time,Zone A,Part-Time,Sales,Field Operations,TX,Female,White,Divorced,Exceeds,2,4,3,5,Technical Skills,Internal,Failed,5,701.13,25,0
Area Sales Manager,MSC,Active,Contract,Zone C,Temporary,Sales,Field Operations,CO,Male,Other,Single,Exceeds,2,4,3,5,Technical Skills,Internal,Completed,4,186.07,26,0
Area Sales Manager,TNS,Active,Contract,Zone C,Full-Time,Sales,General - Con,CO,Male,Other,Divorced,Exceeds,3,5,1,2,Technical Skills,External,Completed,1,921.97,53,0
Area Sales Manager,PYZ,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,IN,Male,Black,Divorced,Fully Meets,2,5,5,2,Customer Service,Internal,Failed,1,691.04,75,0
Area Sales Manager,WBL,Active,Contract,Zone C,Part-Time,Sales,Fielders,MA,Male,White,Widowed,Fully Meets,4,5,5,3,Customer Service,External,Completed,5,964.44,40,0
Area Sales Manager,PYZ,Active,Full-Time,Zone C,Full-Time,IT/IS,General - Con,KY,Male,Hispanic,Married,Needs Improvement,4,4,4,2,Communication Skills,Internal,Passed,3,184.9,52,0
Area Sales Manager,WBL,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Eng,KY,Male,Other,Widowed,Exceeds,4,2,1,1,Project Management,External,Passed,1,220.41,22,0
Area Sales Manager,NEL,Active,Full-Time,Zone A,Temporary,Sales,Field Operations,KY,Female,Black,Divorced,Fully Meets,3,4,3,4,Technical Skills,External,Passed,2,336.82,77,0
Area Sales Manager,PL,Active,Full-Time,Zone B,Temporary,Sales,Engineers,KY,Female,White,Divorced,Needs Improvement,3,5,1,4,Customer Service,External,Completed,4,485.73,73,0
Area Sales Manager,SVG,Active,Full-Time,Zone A,Full-Time,Sales,Aerial,TX,Male,Asian,Married,Fully Meets,3,4,3,3,Communication Skills,External,Incomplete,5,919.52,76,0
Area Sales Manager,MSC,Active,Contract,Zone A,Full-Time,Sales,Field Operations,CO,Male,Hispanic,Divorced,Needs Improvement,3,3,3,1,Project Management,External,Completed,1,320.01,76,0
Area Sales Manager,TNS,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,IN,Male,Hispanic,Single,Fully Meets,1,4,3,4,Technical Skills,Internal,Incomplete,4,926.19,69,0
Area Sales Manager,PYZ,Active,Contract,Zone B,Full-Time,Sales,Shop (Fleet),MA,Male,Black,Widowed,Needs Improvement,5,2,5,3,Customer Service,External,Passed,2,290.47,20,0
Area Sales Manager,WBL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,MA,Male,Asian,Divorced,Needs Improvement,3,5,4,3,Communication Skills,External,Incomplete,1,706.1,59,0
Area Sales Manager,PYZ,Active,Part-Time,Zone C,Full-Time,IT/IS,Aerial,KY,Male,Other,Married,Exceeds,4,1,3,4,Customer Service,External,Passed,3,447.66,43,0
Area Sales Manager,WBL,Active,Contract,Zone A,Part-Time,Sales,Fielders,KY,Female,Asian,Divorced,Exceeds,1,4,3,2,Technical Skills,Internal,Incomplete,1,759.7,33,0
Area Sales Manager,NEL,Active,Contract,Zone B,Temporary,Sales,Wireline Construction,KY,Female,Black,Single,Fully Meets,4,3,1,3,Customer Service,Internal,Completed,3,180.63,21,0
Area Sales Manager,CCDR,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,TX,Male,Asian,Married,Fully Meets,4,2,4,1,Customer Service,External,Passed,3,109.98,53,0
Area Sales Manager,SVG,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,TX,Male,Other,Married,Exceeds,4,5,5,4,Technical Skills,External,Completed,5,537.24,41,0
Area Sales Manager,EW,Active,Part-Time,Zone A,Temporary,Sales,Shop (Fleet),CO,Male,Hispanic,Widowed,Exceeds,2,3,4,4,Communication Skills,External,Failed,5,789.99,73,0
Area Sales Manager,MSC,Active,Full-Time,Zone A,Temporary,Sales,Catv,CO,Male,Other,Divorced,Fully Meets,2,3,1,2,Customer Service,External,Incomplete,5,155.51,55,0
Area Sales Manager,TNS,Active,Full-Time,Zone C,Temporary,Sales,General - Con,IN,Male,Asian,Widowed,Fully Meets,2,4,3,4,Customer Service,Internal,Passed,2,648.76,64,0
Area Sales Manager,PYZ,Active,Part-Time,Zone A,Temporary,Sales,Fielders,MA,Male,Asian,Divorced,Needs Improvement,2,5,5,3,Leadership Development,Internal,Incomplete,4,533.5,78,0
Area Sales Manager,PYZ,Active,Part-Time,Zone A,Full-Time,IT/IS,Aerial,KY,Female,Asian,Widowed,Needs Improvement,2,1,2,1,Leadership Development,External,Failed,5,429.48,50,0
Area Sales Manager,WBL,Active,Full-Time,Zone C,Temporary,Sales,Wireline Construction,KY,Female,Hispanic,Married,Fully Meets,2,3,4,1,Technical Skills,External,Incomplete,1,526.74,61,0
Area Sales Manager,NEL,Active,Contract,Zone A,Part-Time,Sales,Project Management - Con,TX,Female,Hispanic,Widowed,Fully Meets,2,4,4,4,Communication Skills,Internal,Passed,3,443.45,60,0
Area Sales Manager,SVG,Active,Part-Time,Zone B,Temporary,Sales,Project Management - Con,CO,Male,Asian,Widowed,Fully Meets,1,1,4,5,Project Management,External,Passed,4,111.96,57,0
Area Sales Manager,EW,Active,Part-Time,Zone B,Full-Time,Sales,General - Con,CO,Male,Other,Single,Fully Meets,4,1,2,4,Project Management,External,Passed,1,795.7,23,0
Area Sales Manager,MSC,Active,Contract,Zone C,Full-Time,Sales,Field Operations,CO,Male,White,Widowed,Fully Meets,5,2,1,3,Customer Service,Internal,Passed,2,796.45,27,0
Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Fielders,IN,Male,Other,Widowed,Fully Meets,4,3,1,1,Project Management,Internal,Completed,5,812.59,32,0
Area Sales Manager,BPC,Active,Contract,Zone B,Part-Time,Sales,General - Sga,KY,Female,Other,Divorced,Fully Meets,4,5,4,1,Project Management,External,Completed,5,132.97,29,0
Area Sales Manager,CCDR,Active,Contract,Zone B,Full-Time,Sales,Wireline Construction,KY,Female,Asian,Single,Fully Meets,2,1,5,1,Communication Skills,Internal,Completed,1,308.19,25,0
Area Sales Manager,EW,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,TX,Female,Black,Divorced,Fully Meets,2,2,4,5,Project Management,Internal,Passed,1,131.41,69,0
Area Sales Manager,MSC,Active,Part-Time,Zone A,Part-Time,Sales,General - Sga,TX,Female,Hispanic,Divorced,Fully Meets,2,5,3,2,Technical Skills,Internal,Failed,3,389.59,28,0
Area Sales Manager,NEL,Active,Contract,Zone B,Full-Time,Sales,Field Operations,TX,Male,White,Widowed,Fully Meets,5,3,4,5,Project Management,Internal,Incomplete,3,442.56,48,0
Area Sales Manager,PL,Active,Full-Time,Zone C,Full-Time,Sales,General - Con,CO,Male,Asian,Married,Fully Meets,1,1,5,5,Project Management,Internal,Incomplete,3,327.66,26,0
Area Sales Manager,PYZ,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,CO,Male,Asian,Widowed,Fully Meets,5,3,1,5,Project Management,Internal,Completed,3,400.95,35,0
Area Sales Manager,SVG,Active,Contract,Zone B,Full-Time,Sales,General - Con,CO,Male,Black,Single,Fully Meets,4,1,2,1,Technical Skills,Internal,Completed,2,910.45,26,0
Area Sales Manager,TNS,Active,Part-Time,Zone B,Temporary,Sales,Wireline Construction,IN,Male,Other,Married,Fully Meets,4,4,3,5,Customer Service,External,Passed,1,701.55,30,0
Area Sales Manager,WBL,Active,Contract,Zone A,Part-Time,Sales,General - Sga,CA,Male,Other,Widowed,Fully Meets,5,1,3,2,Project Management,Internal,Incomplete,1,806.87,57,0
Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Sales,Project Management - Con,OR,Female,Hispanic,Widowed,Fully Meets,1,2,3,4,Communication Skills,Internal,Completed,2,184.21,40,0
Area Sales Manager,PYZ,Active,Full-Time,Zone A,Full-Time,Sales,General - Sga,KY,Female,White,Widowed,Fully Meets,2,3,3,4,Project Management,External,Failed,1,208.43,25,0
Area Sales Manager,WBL,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,KY,Female,Asian,Widowed,Fully Meets,5,5,3,5,Technical Skills,Internal,Incomplete,2,762.45,47,0
Area Sales Manager,NEL,Active,Full-Time,Zone B,Part-Time,Sales,Shop (Fleet),TX,Female,White,Divorced,Fully Meets,1,4,1,4,Leadership Development,External,Incomplete,4,779.79,18,0
Area Sales Manager,BPC,Active,Full-Time,Zone C,Temporary,Sales,Splicing,TX,Male,White,Married,Fully Meets,1,5,3,5,Customer Service,External,Incomplete,3,427.12,43,0
Area Sales Manager,CCDR,Active,Part-Time,Zone A,Temporary,Sales,Project Management - Con,CO,Male,Other,Single,Fully Meets,4,5,2,3,Technical Skills,Internal,Completed,4,996.35,71,0
Area Sales Manager,SVG,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,CO,Male,Hispanic,Married,Fully Meets,2,3,4,3,Communication Skills,Internal,Completed,5,963.23,41,0
Area Sales Manager,EW,Active,Contract,Zone B,Temporary,Sales,Field Operations,IN,Male,Hispanic,Widowed,Fully Meets,1,4,3,2,Leadership Development,Internal,Failed,5,260.97,77,0
Area Sales Manager,MSC,Active,Full-Time,Zone B,Temporary,Sales,Field Operations,IN,Male,Other,Married,Fully Meets,2,2,2,3,Leadership Development,Internal,Completed,1,781.81,31,0
Area Sales Manager,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Project Management - Con,CA,Male,White,Single,Fully Meets,4,2,5,2,Project Management,Internal,Passed,4,651.77,48,0
Area Sales Manager,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Aerial,OR,Male,Asian,Single,Fully Meets,5,1,5,4,Communication Skills,External,Completed,1,568.22,79,0
Area Sales Manager,BPC,Active,Part-Time,Zone C,Full-Time,Sales,General - Sga,KY,Female,Black,Married,Fully Meets,2,4,5,2,Leadership Development,External,Completed,4,612.1,44,0
Area Sales Manager,PYZ,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,KY,Female,Hispanic,Married,Fully Meets,2,2,4,3,Technical Skills,External,Completed,4,473.23,64,0
